Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:1902285~semaphorin-plexin signaling pathway involved in neuron projection guidance	3	0.9584664536741214	0.0015802245608393993	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	4	16792	45.46570397111913	0.9247765432406118	0.40320247504645046	0.40320247504645046
GOTERM_BP_DIRECT	GO:0097491~sympathetic neuron projection guidance	3	0.9584664536741214	0.0015802245608393993	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	4	16792	45.46570397111913	0.9247765432406118	0.40320247504645046	0.40320247504645046
GOTERM_BP_DIRECT	GO:0097490~sympathetic neuron projection extension	3	0.9584664536741214	0.0015802245608393993	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	4	16792	45.46570397111913	0.9247765432406118	0.40320247504645046	0.40320247504645046
GOTERM_BP_DIRECT	GO:0036486~ventral trunk neural crest cell migration	3	0.9584664536741214	0.0015802245608393993	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	4	16792	45.46570397111913	0.9247765432406118	0.40320247504645046	0.40320247504645046
GOTERM_BP_DIRECT	GO:0033627~cell adhesion mediated by integrin	4	1.2779552715654952	0.0017262491286392373	ENSG00000137809, ENSG00000166147, ENSG00000150093, ENSG00000259207	277	15	16792	16.165583634175693	0.9407852120029495	0.40320247504645046	0.40320247504645046
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	11	3.5143769968051117	0.0019885168152861815	ENSG00000172380, ENSG00000181104, ENSG00000137809, ENSG00000146648, ENSG00000068078, ENSG00000051382, ENSG00000150093, ENSG00000132470, ENSG00000259207, ENSG00000148180, ENSG00000005884	112	210	6879	3.217219387755102	0.31626498342965603	0.05753228862400886	0.05573440460450858
GOTERM_BP_DIRECT	GO:0042060~wound healing	7	2.2364217252396164	0.0020295961323084375	ENSG00000146648, ENSG00000140416, ENSG00000261150, ENSG00000057019, ENSG00000259207, ENSG00000157168, ENSG00000163235	277	80	16792	5.304332129963899	0.9639840503816905	0.41479870954053694	0.41479870954053694
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	7	2.2364217252396164	0.002257097866885268	ENSG00000137809, ENSG00000159251, ENSG00000150093, ENSG00000140416, ENSG00000132470, ENSG00000259207, ENSG00000005884	112	84	6879	5.118303571428572	0.350526308700445	0.05753228862400886	0.05573440460450858
KEGG_PATHWAY	hsa05222:Small cell lung cancer	7	2.2364217252396164	0.002397178692667036	ENSG00000186350, ENSG00000082512, ENSG00000051382, ENSG00000105810, ENSG00000150093, ENSG00000081052, ENSG00000005884	112	85	6879	5.058088235294117	0.3677123186409156	0.05753228862400886	0.05573440460450858
GOTERM_BP_DIRECT	GO:0030193~regulation of blood coagulation	4	1.2779552715654952	0.002517960111090593	ENSG00000181104, ENSG00000105974, ENSG00000164251, ENSG00000213626	277	17	16792	14.263750265449138	0.983829677879653	0.425938843270344	0.425938843270344
GOTERM_BP_DIRECT	GO:1901166~neural crest cell migration involved in autonomic nervous system development	3	0.9584664536741214	0.0026051305398797795	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	5	16792	36.372563176895305	0.985983986036696	0.425938843270344	0.425938843270344
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	64	20.447284345047922	0.002808755229247002	ENSG00000157833, ENSG00000115756, ENSG00000104824, ENSG00000157870, ENSG00000162909, ENSG00000135842, ENSG00000169105, ENSG00000136010, ENSG00000159251, ENSG00000120913, ENSG00000138030, ENSG00000135480, ENSG00000165868, ENSG00000160014, ENSG00000120594, ENSG00000168899, ENSG00000148204, ENSG00000155366, ENSG00000105426, ENSG00000196352, ENSG00000099810, ENSG00000092621, ENSG00000114698, ENSG00000168140, ENSG00000117525, ENSG00000174307, ENSG00000157500, ENSG00000171867, ENSG00000080561, ENSG00000184254, ENSG00000026297, ENSG00000182871, ENSG00000128567, ENSG00000106992, ENSG00000103196, ENSG00000198286, ENSG00000176014, ENSG00000132470, ENSG00000177706, ENSG00000148180, ENSG00000005884, ENSG00000196814, ENSG00000167861, ENSG00000035862, ENSG00000100889, ENSG00000259207, ENSG00000068383, ENSG00000172380, ENSG00000149260, ENSG00000135636, ENSG00000174684, ENSG00000172780, ENSG00000150093, ENSG00000178209, ENSG00000170442, ENSG00000132563, ENSG00000269113, ENSG00000085117, ENSG00000166147, ENSG00000169213, ENSG00000182054, ENSG00000166825, ENSG00000063660, ENSG00000100234	292	2811	18224	1.4209538846897949	0.5386020958389459	0.0965509610053657	0.09374220577611869
GOTERM_MF_DIRECT	GO:0005088~Ras guanyl-nucleotide exchange factor activity	8	2.5559105431309903	0.0029434354661068466	ENSG00000198915, ENSG00000146648, ENSG00000068078, ENSG00000169047, ENSG00000160014, ENSG00000157168, ENSG00000162434, ENSG00000105464	279	115	16881	4.209069658719028	0.7407808298502859	0.9686790709034937	0.9686790709034937
KEGG_PATHWAY	hsa05214:Glioma	6	1.9169329073482428	0.003824922252053761	ENSG00000146648, ENSG00000051382, ENSG00000105810, ENSG00000160014, ENSG00000163235, ENSG00000124762	112	65	6879	5.669505494505494	0.51903505501776	0.08159834137714689	0.07904839320911106
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	12	3.8338658146964857	0.003997066764380438	ENSG00000103196, ENSG00000035862, ENSG00000166147, ENSG00000049323, ENSG00000132031, ENSG00000136378, ENSG00000063660, ENSG00000132561, ENSG00000182871, ENSG00000100234, ENSG00000122335, ENSG00000081052	292	268	18224	2.7945205479452055	0.6675932821953414	0.11655842440924626	0.11316763388097727
GOTERM_BP_DIRECT	GO:0050900~leukocyte migration	8	2.5559105431309903	0.004041465657870266	ENSG00000105974, ENSG00000051382, ENSG00000150093, ENSG00000164251, ENSG00000198910, ENSG00000259207, ENSG00000128567, ENSG00000005884	277	122	16792	3.97514351660058	0.9986735309032707	0.5584930439583974	0.5584930439583974
GOTERM_BP_DIRECT	GO:0010508~positive regulation of autophagy	5	1.5974440894568689	0.00409903151529099	ENSG00000166289, ENSG00000171206, ENSG00000080561, ENSG00000051382, ENSG00000164938	277	40	16792	7.577617328519855	0.9987932172173299	0.5584930439583974	0.5584930439583974
GOTERM_CC_DIRECT	GO:0030027~lamellipodium	9	2.8753993610223643	0.004238488160336227	ENSG00000166025, ENSG00000139132, ENSG00000135636, ENSG00000173210, ENSG00000159251, ENSG00000150093, ENSG00000031081, ENSG00000128567, ENSG00000197702	292	160	18224	3.510616438356164	0.689030798945923	0.11655842440924626	0.11316763388097727
GOTERM_BP_DIRECT	GO:0007411~axon guidance	9	2.8753993610223643	0.004830067332028292	ENSG00000174684, ENSG00000001617, ENSG00000063660, ENSG00000165606, ENSG00000132561, ENSG00000198910, ENSG00000125266, ENSG00000099250, ENSG00000118257	277	159	16792	3.4313738846127646	0.9996370100466776	0.6074738529127891	0.6074738529127891
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	86	27.47603833865815	0.004993163929123851	ENSG00000181104, ENSG00000107338, ENSG00000139926, ENSG00000162909, ENSG00000157510, ENSG00000135842, ENSG00000167642, ENSG00000184185, ENSG00000164251, ENSG00000100422, ENSG00000160014, ENSG00000162512, ENSG00000033867, ENSG00000168899, ENSG00000148204, ENSG00000101198, ENSG00000112759, ENSG00000155366, ENSG00000175591, ENSG00000156453, ENSG00000105426, ENSG00000196352, ENSG00000143061, ENSG00000173890, ENSG00000196950, ENSG00000114698, ENSG00000168140, ENSG00000117525, ENSG00000159840, ENSG00000174307, ENSG00000099250, ENSG00000171867, ENSG00000168785, ENSG00000051382, ENSG00000182551, ENSG00000124249, ENSG00000128567, ENSG00000147027, ENSG00000101187, ENSG00000106992, ENSG00000105464, ENSG00000198363, ENSG00000198286, ENSG00000137809, ENSG00000105974, ENSG00000211584, ENSG00000076641, ENSG00000132470, ENSG00000072163, ENSG00000171488, ENSG00000148180, ENSG00000005884, ENSG00000118257, ENSG00000196814, ENSG00000081320, ENSG00000137440, ENSG00000146648, ENSG00000169047, ENSG00000165449, ENSG00000270885, ENSG00000259207, ENSG00000125266, ENSG00000068383, ENSG00000172380, ENSG00000026559, ENSG00000137819, ENSG00000135636, ENSG00000068078, ENSG00000150093, ENSG00000172382, ENSG00000047597, ENSG00000171450, ENSG00000178209, ENSG00000198910, ENSG00000139874, ENSG00000197702, ENSG00000085117, ENSG00000169213, ENSG00000144935, ENSG00000006283, ENSG00000063660, ENSG00000124225, ENSG00000185567, ENSG00000146477, ENSG00000163235, ENSG00000102452	292	4121	18224	1.3024369002070917	0.7475544360036541	0.12482909822809628	0.12119770627964256
GOTERM_BP_DIRECT	GO:0034141~positive regulation of toll-like receptor 3 signaling pathway	3	0.9584664536741214	0.005352933222423932	ENSG00000085449, ENSG00000105974, ENSG00000164251	277	7	16792	25.980402269210934	0.9998463635743219	0.6251461299045092	0.6251461299045092
GOTERM_MF_DIRECT	GO:0017134~fibroblast growth factor binding	4	1.2779552715654952	0.006131231163867375	ENSG00000137440, ENSG00000068078, ENSG00000063660, ENSG00000259207	279	23	16881	10.522674146797568	0.9401998906872002	0.9686790709034937	0.9686790709034937
GOTERM_MF_DIRECT	GO:0002020~protease binding	7	2.2364217252396164	0.006499016569869065	ENSG00000035862, ENSG00000150093, ENSG00000143382, ENSG00000100234, ENSG00000117525, ENSG00000259207, ENSG00000005884	279	101	16881	4.193441924837645	0.9495243392353703	0.9686790709034937	0.9686790709034937
GOTERM_BP_DIRECT	GO:0048010~vascular endothelial growth factor receptor signaling pathway	6	1.9169329073482428	0.006607044214411618	ENSG00000107338, ENSG00000051382, ENSG00000071051, ENSG00000259207, ENSG00000099250, ENSG00000118257	277	72	16792	5.051744885679904	0.999980497942462	0.7124536249125524	0.7124536249125524
GOTERM_CC_DIRECT	GO:0030056~hemidesmosome	3	0.9584664536741214	0.0066769421724053755	ENSG00000178209, ENSG00000132470, ENSG00000261150	292	8	18224	23.404109589041095	0.841550046311012	0.1530132581176232	0.1485619633360196
GOTERM_BP_DIRECT	GO:0016477~cell migration	9	2.8753993610223643	0.007672804743340607	ENSG00000198915, ENSG00000051382, ENSG00000150093, ENSG00000162512, ENSG00000071051, ENSG00000259207, ENSG00000152229, ENSG00000128567, ENSG00000162434	277	172	16792	3.1720258584501715	0.9999966317376219	0.7124536249125524	0.7124536249125524
GOTERM_BP_DIRECT	GO:0006936~muscle contraction	7	2.2364217252396164	0.0084675136345416	ENSG00000135636, ENSG00000198363, ENSG00000120896, ENSG00000184185, ENSG00000160014, ENSG00000140416, ENSG00000196557	277	107	16792	3.9658557981038496	0.9999990918307785	0.7124536249125524	0.7124536249125524
GOTERM_MF_DIRECT	GO:0001968~fibronectin binding	4	1.2779552715654952	0.008680696240085394	ENSG00000150093, ENSG00000259207, ENSG00000070404, ENSG00000005884	279	26	16881	9.308519437551695	0.9815578334151699	0.9686790709034937	0.9686790709034937
GOTERM_BP_DIRECT	GO:0021612~facial nerve structural organization	3	0.9584664536741214	0.008979326046435787	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	9	16792	20.206979542719615	0.9999996097697358	0.7124536249125524	0.7124536249125524
GOTERM_BP_DIRECT	GO:0061549~sympathetic ganglion development	3	0.9584664536741214	0.008979326046435787	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	9	16792	20.206979542719615	0.9999996097697358	0.7124536249125524	0.7124536249125524
GOTERM_BP_DIRECT	GO:0021675~nerve development	3	0.9584664536741214	0.008979326046435787	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	9	16792	20.206979542719615	0.9999996097697358	0.7124536249125524	0.7124536249125524
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	16	5.111821086261981	0.009150780503463974	ENSG00000137809, ENSG00000105426, ENSG00000006607, ENSG00000132470, ENSG00000198910, ENSG00000159840, ENSG00000133401, ENSG00000197702, ENSG00000005884, ENSG00000118257, ENSG00000120896, ENSG00000182871, ENSG00000259207, ENSG00000101311, ENSG00000128567, ENSG00000125266	277	459	16792	2.113148187473947	0.9999997059730324	0.7124536249125524	0.7124536249125524
GOTERM_BP_DIRECT	GO:0060055~angiogenesis involved in wound healing	3	0.9584664536741214	0.01110319004734979	ENSG00000134954, ENSG00000051382, ENSG00000259207	277	10	16792	18.186281588447653	0.9999999883319951	0.789291988148561	0.789291988148561
GOTERM_BP_DIRECT	GO:1902237~positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	3	0.9584664536741214	0.01110319004734979	ENSG00000096717, ENSG00000071051, ENSG00000176720	277	10	16792	18.186281588447653	0.9999999883319951	0.789291988148561	0.789291988148561
GOTERM_MF_DIRECT	GO:0019215~intermediate filament binding	3	0.9584664536741214	0.011144580640947886	ENSG00000132688, ENSG00000182253, ENSG00000261150	279	10	16881	18.151612903225807	0.9941004146924372	0.9686790709034937	0.9686790709034937
GOTERM_CC_DIRECT	GO:0031594~neuromuscular junction	5	1.5974440894568689	0.011473845988003752	ENSG00000181104, ENSG00000158528, ENSG00000150093, ENSG00000135919, ENSG00000157168	292	55	18224	5.673723536737235	0.9581452116150055	0.24271597282315627	0.2356551445228463
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	5	1.5974440894568689	0.012389508200242504	ENSG00000186350, ENSG00000146648, ENSG00000051382, ENSG00000105810, ENSG00000163235	112	56	6879	5.483896683673469	0.9075583389583336	0.20718739652469711	0.20071279038330034
GOTERM_BP_DIRECT	GO:0043547~positive regulation of GTPase activity	18	5.7507987220447285	0.012413971755225553	ENSG00000213047, ENSG00000068078, ENSG00000150093, ENSG00000137936, ENSG00000006607, ENSG00000071051, ENSG00000031081, ENSG00000157168, ENSG00000137962, ENSG00000139132, ENSG00000198915, ENSG00000146648, ENSG00000116285, ENSG00000169047, ENSG00000160014, ENSG00000165801, ENSG00000162434, ENSG00000105464	277	565	16792	1.9312865403661224	0.9999999986677147	0.8457018258247408	0.8457018258247408
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	6	1.9169329073482428	0.01294921228279357	ENSG00000146648, ENSG00000051382, ENSG00000071051, ENSG00000157168, ENSG00000163235, ENSG00000124762	112	87	6879	4.235837438423645	0.9170446514973327	0.20718739652469711	0.20071279038330034
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	6	1.9169329073482428	0.01294921228279357	ENSG00000137809, ENSG00000150093, ENSG00000132470, ENSG00000259207, ENSG00000081052, ENSG00000005884	112	87	6879	4.235837438423645	0.9170446514973327	0.20718739652469711	0.20071279038330034
GOTERM_BP_DIRECT	GO:0008016~regulation of heart contraction	4	1.2779552715654952	0.014057084660458505	ENSG00000184185, ENSG00000140416, ENSG00000196557, ENSG00000121068	277	31	16792	7.822056597181787	0.9999999999126029	0.8924784436562447	0.8924784436562447
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	14	4.472843450479233	0.014192317758447927	ENSG00000175274, ENSG00000181104, ENSG00000245848, ENSG00000134954, ENSG00000105810, ENSG00000137309, ENSG00000164938, ENSG00000071051, ENSG00000139874, ENSG00000137440, ENSG00000035862, ENSG00000182871, ENSG00000135919, ENSG00000124762	277	396	16792	2.1431644969551105	0.999999999930171	0.8924784436562447	0.8924784436562447
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	7	2.2364217252396164	0.014249913464362933	ENSG00000111725, ENSG00000051382, ENSG00000100889, ENSG00000169047, ENSG00000074211, ENSG00000096717, ENSG00000106617	112	123	6879	3.4954268292682924	0.9355143087980624	0.21046026039674487	0.20388337725934658
GOTERM_BP_DIRECT	GO:0048846~axon extension involved in axon guidance	3	0.9584664536741214	0.015936268467695545	ENSG00000001617, ENSG00000099250, ENSG00000118257	277	12	16792	15.15523465703971	0.9999999999961452	0.9564662934611674	0.9564662934611674
GOTERM_MF_DIRECT	GO:0010314~phosphatidylinositol-5-phosphate binding	3	0.9584664536741214	0.015994993529078513	ENSG00000166289, ENSG00000174705, ENSG00000174307	279	12	16881	15.126344086021506	0.9993794638416984	0.9686790709034937	0.9686790709034937
GOTERM_MF_DIRECT	GO:0031994~insulin-like growth factor I binding	3	0.9584664536741214	0.015994993529078513	ENSG00000132470, ENSG00000259207, ENSG00000146678	279	12	16881	15.126344086021506	0.9993794638416984	0.9686790709034937	0.9686790709034937
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	6	1.9169329073482428	0.016379850897194303	ENSG00000137809, ENSG00000150093, ENSG00000132470, ENSG00000259207, ENSG00000159840, ENSG00000005884	277	90	16792	4.041395908543923	0.9999999999981565	0.9564662934611674	0.9564662934611674
KEGG_PATHWAY	hsa04360:Axon guidance	7	2.2364217252396164	0.01646579702581175	ENSG00000001617, ENSG00000173210, ENSG00000150093, ENSG00000071051, ENSG00000198910, ENSG00000125266, ENSG00000099250	112	127	6879	3.385334645669291	0.9580445613555477	0.22581664492541825	0.21875987477149897
KEGG_PATHWAY	hsa04713:Circadian entrainment	6	1.9169329073482428	0.01835870030981035	ENSG00000172380, ENSG00000006283, ENSG00000160014, ENSG00000196557, ENSG00000137841, ENSG00000105464	112	95	6879	3.8791353383458644	0.9709605117291255	0.2284542666521192	0.22131507081924048
GOTERM_MF_DIRECT	GO:0016301~kinase activity	10	3.1948881789137378	0.01865650975301964	ENSG00000143845, ENSG00000051382, ENSG00000100889, ENSG00000171450, ENSG00000160014, ENSG00000100422, ENSG00000106617, ENSG00000166548, ENSG00000124762, ENSG00000133597	279	241	16881	2.5105965288002494	0.9998205105066411	0.9686790709034937	0.9686790709034937
GOTERM_MF_DIRECT	GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity	5	1.5974440894568689	0.019035178249195293	ENSG00000146648, ENSG00000068078, ENSG00000051382, ENSG00000169047, ENSG00000157168	279	62	16881	4.879465834200485	0.9998495914463766	0.9686790709034937	0.9686790709034937
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	9	2.8753993610223643	0.01984088889356371	ENSG00000181104, ENSG00000146648, ENSG00000068078, ENSG00000051382, ENSG00000150093, ENSG00000006607, ENSG00000160014, ENSG00000259207, ENSG00000137841	112	210	6879	2.6322704081632655	0.9782405946459211	0.2284542666521192	0.22131507081924048
GOTERM_CC_DIRECT	GO:0005901~caveola	5	1.5974440894568689	0.02013977749211416	ENSG00000181104, ENSG00000170955, ENSG00000105974, ENSG00000169047, ENSG00000177469	292	65	18224	4.8008429926238145	0.9962834913473946	0.3866413846223718	0.3753936352515392
KEGG_PATHWAY	hsa05212:Pancreatic cancer	5	1.5974440894568689	0.020461571906893697	ENSG00000146648, ENSG00000051382, ENSG00000105810, ENSG00000163235, ENSG00000162434	112	65	6879	4.724587912087912	0.9807202067237465	0.2284542666521192	0.22131507081924048
GOTERM_BP_DIRECT	GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway	6	1.9169329073482428	0.021061879384708732	ENSG00000146648, ENSG00000225950, ENSG00000051382, ENSG00000076641, ENSG00000157168, ENSG00000162434	277	96	16792	3.7888086642599275	0.9999999999999992	1.0	1.0
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	11	3.5143769968051117	0.02108953007031119	ENSG00000132688, ENSG00000035862, ENSG00000166147, ENSG00000049323, ENSG00000178209, ENSG00000143382, ENSG00000132561, ENSG00000135919, ENSG00000182871, ENSG00000100234, ENSG00000117525	292	296	18224	2.3193261754905588	0.9971534571905643	0.3866413846223718	0.3753936352515392
KEGG_PATHWAY	hsa04922:Glucagon signaling pathway	6	1.9169329073482428	0.02155112444279917	ENSG00000111725, ENSG00000100889, ENSG00000096717, ENSG00000160014, ENSG00000106617, ENSG00000137841	112	99	6879	3.7224025974025974	0.9844122134470619	0.2284542666521192	0.22131507081924048
KEGG_PATHWAY	hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC)	5	1.5974440894568689	0.02260745347078263	ENSG00000137809, ENSG00000150093, ENSG00000132470, ENSG00000259207, ENSG00000005884	112	67	6879	4.583555437100213	0.9873181281415794	0.2284542666521192	0.22131507081924048
